timestamp,nervousness,signal_reliance,accident_yn,accident_severity,gender,age
4/24/2024 16:30:41,3,5,0,0,Man,70
4/24/2024 16:33:26,1,3,1,2,Man,77
4/24/2024 16:37:27,3,3,1,1,Man,50
4/24/2024 16:40:19,1,5,0,0,Woman,74
4/24/2024 16:44:26,1,5,1,4,Man,40
4/24/2024 16:47:17,5,5,0,0,Woman,80
4/24/2024 16:49:52,1,4,0,0,Woman,85
4/24/2024 16:53:10,5,5,1,3,Woman,70
4/24/2024 16:57:28,1,4,0,0,Man,85
4/24/2024 17:02:57,5,5,1,2,Woman,50
4/24/2024 17:05:16,5,2,1,1,man,30
4/24/2024 17:08:30,3,3,0,0,Man,63
4/24/2024 17:08:54,1,4,1,2,Man,69
4/24/2024 17:09:10,1,5,0,0,Man,78
4/24/2024 17:11:11,2,2,1,2,Woman,70
4/24/2024 17:11:34,1,1,0,0,Man,70
4/24/2024 17:12:17,3,4,0,0,Man,64
4/24/2024 17:13:37,1,1,1,2,Woman,70
4/24/2024 17:15:26,1,2,0,0,Man,58
4/24/2024 17:17:21,1,3,0,2,Woman,60
4/24/2024 17:21:30,1,4,0,0,Woman,71
4/24/2024 17:21:51,1,1,1,3,Man,61
4/24/2024 17:26:45,2,2,0,1,Man,61
4/24/2024 17:27:08,1,1,0,0,Man,22
4/24/2024 17:27:47,2,4,1,2,Woman,65
4/24/2024 17:30:01,1,1,0,0,Woman,58
4/24/2024 17:30:02,3,2,0,1,Woman,83
4/24/2024 17:33:09,5,5,1,1,Man,74
4/24/2024 17:33:54,2,5,0,0,Man,81
4/24/2024 17:33:54,5,5,1,1,Woman,63
4/24/2024 17:34:02,1,2,1,3,Man,60
4/24/2024 17:35:50,1,1,0,0,Woman,86
4/24/2024 17:36:41,1,2,0,0,Woman,71
4/24/2024 17:38:12,1,2,0,0,Woman,56
